Bt,ip,ne_nG,n=1 amplitude,Mir_avg_amp,Mir_avg_fre,v_loop,dx_a,dy_a,sxr_mean,xuv_ratio
2.3297858,448603.9,5.574927,925.8014,0.0,0.0,0.75913435,20.047949,-7.0996675,0.20291436,1.2985462
2.3327062,448847.72,5.5778537,927.80414,0.0,0.0,0.7552428,20.117302,-7.0736084,0.20117135,1.306275
2.3329933,449186.34,5.5831947,917.4466,0.0,0.0,0.77161294,20.141253,-7.0844545,0.2006404,1.3059535
2.3208923,449112.53,5.5915265,907.90497,0.0,0.0,0.79108787,20.073046,-7.0412893,0.20122692,1.2973527
2.3175254,449074.12,5.5997314,928.7626,0.0,0.0,0.83332115,20.144997,-7.0755534,0.20226724,1.3116021
2.3162284,449158.78,5.6054835,933.5834,0.0,0.0,0.8535733,20.16667,-7.0879145,0.19904627,1.3251659
2.320317,449356.0,5.6108704,913.35144,0.0,0.0,0.8795561,20.216515,-7.104577,0.19700223,1.3345112
2.3288894,449478.6,5.619882,913.5973,0.0,0.0,0.9043116,20.281973,-7.10623,0.19516829,1.3289407
2.330965,449516.28,5.62407,905.9913,0.0,0.0,0.9030289,20.250435,-7.0711594,0.1956921,1.3389535
2.3265676,449563.25,5.625373,929.66046,0.0,0.0,0.90422803,20.202759,-7.1007323,0.19441247,1.3450707
2.32593,449713.62,5.6258183,914.99274,0.0,0.0,0.9107409,20.14945,-7.079542,0.19470353,1.3435405
2.3237274,449610.53,5.631777,928.63104,0.0,0.0,0.90221226,20.190569,-7.056404,0.19450574,1.3406025
2.3267248,449845.22,5.6367726,929.25964,0.0,0.0,0.8830874,20.181612,-7.0948577,0.19337408,1.3508347
2.3349953,449742.12,5.638984,931.9512,0.0,0.0,0.86050135,20.139313,-7.103185,0.19227342,1.3610308
2.33875,449742.0,5.6443415,940.0565,0.0,0.0,0.8341506,20.117016,-7.0972223,0.18900299,1.365076
2.3378704,449807.84,5.6473546,933.9172,0.0,0.0,0.82407624,20.052584,-7.130281,0.18783726,1.3706383
2.3314302,449807.84,5.647325,913.44226,0.0,0.0,0.7662748,20.117191,-7.145168,0.18950857,1.3742747
2.329182,449920.78,5.649088,908.3372,0.0,0.0,0.7278378,20.00867,-7.1270556,0.18868081,1.368627
2.3236494,450071.25,5.651134,940.7166,0.0,0.0,0.68854594,20.029633,-7.10535,0.18943547,1.3731483
2.3277543,450099.34,5.649869,908.40015,0.0,0.0,0.65814626,20.08664,-7.162427,0.1923435,1.3782618
2.3323114,449845.1,5.649924,924.49493,0.0,0.0,0.6368798,19.973505,-7.194717,0.19125257,1.383375
2.3344343,449855.1,5.652284,931.09216,0.0,0.0,0.6104191,19.944681,-7.1733537,0.18980326,1.3713346
