Bt,ip,ne_nG,n=1 amplitude,Mir_avg_amp,Mir_avg_fre,v_loop,dx_a,dy_a,sxr_mean,xuv_ratio
2.3282769,448556.4,5.8467317,840.6244,0.0,0.0,0.3682856,18.90232,-10.879629,0.22205055,1.3522913
2.327836,447979.28,5.84403,854.6693,0.0,0.0,0.3475646,18.759361,-10.955044,0.22272636,1.3719225
2.3268363,448286.75,5.8388314,864.4242,0.0,0.0,0.38087523,18.812914,-10.904703,0.22134848,1.3738619
2.3306818,448430.8,5.8338265,881.6542,0.0,0.0,0.3817589,18.838348,-10.907492,0.22203311,1.3776115
2.3309007,448725.75,5.836392,884.9168,0.0,0.0,0.38113993,19.040567,-10.84875,0.21975575,1.3674767
2.3283834,448174.5,5.8368025,842.8069,0.0,0.0,0.3970066,18.979626,-10.902909,0.22544429,1.3639711
2.3239956,448344.3,5.834942,855.563,0.0,0.0,0.41277736,19.017923,-10.904664,0.22306821,1.3777791
2.3182259,448538.75,5.8335123,874.54913,0.0,0.0,0.44000533,19.069866,-10.904923,0.22422138,1.3752111
2.3234057,448569.56,5.8324523,860.12146,0.0,0.0,0.4850538,19.121859,-10.913611,0.22274205,1.3802893
2.3296266,448726.78,5.8329215,858.99384,0.0,0.0,0.42730457,19.069395,-10.859548,0.2223643,1.3680329
2.3308368,448265.12,5.827562,879.0989,0.0,0.0,0.44640905,19.150467,-10.9297285,0.22632647,1.3783886
2.3223312,448726.06,5.8276906,865.87305,0.0,0.0,0.44293553,19.269316,-10.921413,0.2238083,1.3715609
2.3241305,448225.72,5.8262825,868.3813,0.0,0.0,0.4334499,19.146492,-10.929034,0.22635795,1.3605781
2.3246765,448128.16,5.8189187,839.55316,0.0,0.0,0.42344067,19.22411,-10.938019,0.22550862,1.351618
2.3333611,448789.94,5.8189716,862.65076,0.0,0.0,0.44709447,19.266241,-10.965118,0.22843376,1.358203
2.3368006,448675.4,5.8226867,866.41895,0.0,0.0,0.447042,19.318993,-10.947117,0.22875704,1.3596187
2.337431,448476.75,5.8281007,898.8544,0.0,0.0,0.41444185,19.426811,-10.974586,0.23224068,1.3577801
2.3364537,448229.0,5.830387,854.43616,0.0,0.0,0.39926866,19.340061,-10.953324,0.23411806,1.3388797
